"name","time","location","feature","image","url","latitude","longitude"
"花博記念公園鶴見緑地のヒマワリ","7月中旬～8月上旬","〒538-0036 大阪府大阪市鶴見区緑地公園2 花博記念公園鶴見緑地","平成2年に「国際花と緑の博覧会(花博)」が開催された会場跡地にある公園。園内は、約126haという大阪市と守口市にまたがる広大さで、大阪を代表する公園。シンボルの風車前の広場には、春にはチューリップが広がり、鮮やかな彩りを見せてくれる。また、夏はサルビア、秋はコスモスと花が次々と咲く。花の万博の際にパビリオンとして建設された「咲くやこの花館」(大人500円、中学生以下無料)には日本最大の温室があり、植物約2600種、約15,000株を温室、冷室8つのゾーンにわけて栽培展示する総合植物館で、世界各地の植物が一年中見られる。さらに緑の中でバーベキューやキャンプを楽しむことができる設備が整い、家族や仲間同士で気軽にアウトドア気分を味わうこともできる。","https://image-loconavi.tokubai.co.jp/w=400,h=400,a=2/uploads/photo/image/image/11927/93161f42-9176-4cfd-9755-96fcd3a1cbc6.JPG","http://www.tsurumi-ryokuchi.jp/ikimono/5478","34.710111","135.573707"
"世羅高原農場のヒマワリ","7月下旬～8月下旬","広島県世羅郡世羅町別迫1124-11 世羅高原農場","広島県の世羅町別迫にある観光農園で中国、四国地方では最大級のチューリップ畑。花畑は広さ約6ヘクタールに300種70万本のチューリップが咲き誇る。チューリップは色や種類ごとに帯状に植えられ、丘陵の段差を利用しての絶妙な配色が楽しめる。八重咲きで淡いピンクのホーランドプリンセスや枝咲きで明るい赤のオレンジブーケなど。白色の5品種を集めたコーナー「ホワイトガーデン」もある。また夏には100万本のヒマワリが咲き、秋には300品種2万5000株のダリア園を開園。収穫祭ではジャンボサイズの大根がとれるなど、地元では花の名所として多くの人たちに親しまれている。","https://image-loconavi.tokubai.co.jp/w=400,h=400,a=2/uploads/photo/image/image/14992/6ecb6a36-c134-48ce-973f-00a8413372dd.JPG","http://sera.ne.jp/","34.65563","133.042794"
"駒つなぎの桜","","長野県下伊那郡阿智村智里3557 駒つなぎの桜","阿智の星空駒つなぎの桜に満天の星が降り注ぐ","https://image-loconavi.tokubai.co.jp/w=400,h=400,a=2/uploads/photo/image/image/27441/b84fa2ca-828e-4bf5-a177-83a0481a263f.jpeg","https://www.hahakigi-kan.com/","35.460534","137.65974"
"房総フラワーライン","","千葉県館山市 房総フラワーライン","「房総フラワーライン」は千葉県館山市から南房総市までの約40キロメートルの海岸線の道路です。早春には菜の花、春にはノースポール、夏にはマリーゴールドなどが道路沿いに咲き誇り、季節の花を楽しめます。","https://image-loconavi.tokubai.co.jp/w=400,h=400,a=2/uploads/photo/image/image/34226/a454f7a4-8169-4ed6-acaf-729b027edaf0.JPG","http://tateyamacity.com/archives/292","34.933646","139.826358"
"中山高原の菜の花","","長野県大町市中山高原一帯","鹿島槍と菜の花大町市から長野市へ結ぶ県道沿いにある中山高原は何年か前のNHK朝の連続ドラマ「おひさま」の舞台になり有名になった。ここへは毎年見に行っているが、雪の溶けない北アルプスの山々と満開の菜の花を一緒に見ることが出来たのは、この十年で一度っきり。","https://image-loconavi.tokubai.co.jp/w=400,h=400,a=2/uploads/photo/image/image/26668/82dbf4b1-535c-42c4-902d-a0c895d1f050.JPG","","36.566869","137.876824"
"ファーム富田","","北海道中富良野町基線北15号","テレビドラマ「北の国から」で知られるのが富良野のラベンダー畑。60年代から北海道のラベンダーは、一時は富良野地に適した花として次々と農家が生計の為に植えていた。だが、時代と共に値段の安い化学香料に押され、ほとんどの農家が作物栽培へと転換して姿を消してしまう。そんな中で、今では富良野の代表的な花畑として知られる『ファ−ム富田』の富田忠雄氏は、こんな状況の中でも孤軍奮闘して栽培を続けていた。だが、「もう来年はラベンダー畑をやめて整地しよう」と、思ったが、妻の助言もあり、1年だけ延期した。そして翌年の75年6月、ラベンダー畑がたまたま当時の国鉄のカレンダーに載り、その光景の美しさは魅せられ全国の人々が訪れ始めた。そんな人たちが感動する姿に、富田氏は励まされて再度、栽培に打ち込んだ。そして何とかラベンダーを生かそうと家族総出で作ったラベンダーの匂い袋や香水が富良野のお土産として評判になり、植物性香料の優秀性が見直された。一度は、あきらめようと思ったラベンダー畑には、遠くアジアなど海外からも含めて年間100万人以上の人々が訪れている。ラベンダーに打ち込んだ富田氏の熱意が生んだ、美しい花畑の風景に多くの人々は魅了されている。また、ファーム富田ラベンダー栽培50周年の2008年に「ラベンダーイースト」がオープン。ファーム富田より東へ約4キロメートルの場所にある。東には十勝岳連峰、南には夕張山地がそびえ立ち目の前には一面のラベンダー畑が広がり、ここでしか見られない贅沢な眺めが楽しめる。","https://image-loconavi.tokubai.co.jp/w=400,h=400,a=2/uploads/photo/image/image/24065/07352cf3-fe54-4390-94ca-ea04b346d415.JPG","http://www.farm-tomita.co.jp/","43.418158","142.428022"
"笛吹市の桃","","山梨県笛吹市石和町市部777","毎年4月上旬、扇状の甲府盆地はモモがいっせいに咲き誇り、淡い桃色の春色の海原と化す。それは、はるか見渡す限りの、壮大な桃源郷のよう。どこからどこまで歩いても桃色一色といった感じだが、とりあえず石和温泉を拠点に、モモの木が密集する一宮周辺を見て歩くのがいい。中央自動車道の下りパーキングエリアからも徒歩で専用道路で行ける“釈迦堂遺跡博物館” は、町を見おろす高台に建っている。ここからの眺めが抜群。よく晴れた日はピンク色の花畑の向こうに残雪の南アルプスの峰々が銀色に輝く。それをご馳走にピクニックしている家族連れやカップルも多い。花の期間中、市内各地でさまざまなイベントも開かれる。","https://image-loconavi.tokubai.co.jp/w=400,h=400,a=2/uploads/spot/placard/image/49020/2f34ad47-5134-4684-9a49-4191d873d1e3.jpg","","35.647366","138.639747"
"イングリッシュローズガーデン","6月〜9月","長野県北佐久郡軽井沢町長倉 軽井沢タリアセン","バラの育種家として著名なデイビッド・オースチンによって作り出されたイングリッシュローズを、約200種・1800株栽培しており、バラの愛好家にとって欠かせないスポットです。美しく咲くバラの香りに癒されながら園内を散策してみてはいかがでしょうか。","https://image-loconavi.tokubai.co.jp/w=280,h=280,a=2/uploads/photo/image/image/18029/ba8457c7-a366-44b8-aa1d-185a2132132f.JPG","http://www.karuizawataliesin.com/","36.328378","138.596903"
"いわみざわ公園バラ園のバラ","6月中旬～10月中旬","北海道岩見沢市志文町794","北海道岩見沢市にある「いわみざわ公園バラ園」の敷地は約 4万平方m。630種のバラが咲き乱れ、6月下旬から10月中旬頃まで楽しむことができます。中心となるローズガーデンには豪華な繰り返し咲きの大輪系品種を配し、アーチやスタンドにはつるバラを這わせて立体感を演出しています。","https://image-loconavi.tokubai.co.jp/w=400,h=400,a=2/uploads/spot/placard/image/52886/d96c2823-d2f3-4fbf-ba7d-dfbb488db56d.jpg","http://www.iwamizawa-park.com/","43.159377","141.784839"
"四季彩の丘","","北海道上川郡美瑛町新星 四季彩の丘","美瑛町の南東、丘の風景で有名なパノラマロードの小高い丘にある7haのお花畑。園内は、花畑の他、農産物直売所やお土産販売所、レストランなどがあり、芝生の広場、白樺林の遊歩道がある。展望花畑は、年間約30種類の花々が丘全体に散りばめられ、カラフルに咲く花の名所。写真の構図も考え、春にはアネモネやチューリップなど、秋はポピーやコスモスなど花が尽きないように計画的に植えらている。冬には雪化粧した丘でスノーモービルやスノーラフト等が楽しめます。景観をめいっぱい体感するには、園内をのんびり進むトラクターバスや、自分で運転することのできるバギーやカートを利用してみるのも良いでしょう。","https://image-loconavi.tokubai.co.jp/w=400,h=400,a=2/uploads/photo/image/image/11608/68ac43c9-34ce-447d-a0bd-017c09a00b62.JPG","http://www.shikisainooka.jp/","43.529173","142.465083"
